,,Resource,ResourceName,State,StateName,Entity,Store,timeIn,timeOut
0,,<0x24a2d19fb50 (Generator object) at 0x24a2d19fb50>,0x24a2d19fb50,<Creating (State) object at 0x24a2d19f0d0>,Creating,,,0.0,2.0
1,,<0x24a2d19d310 (Gate object) at 0x24a2d19d310>,0x24a2d19d310,<Waiting (State) object at 0x24a2d19d350>,Waiting,,,0.0,1.0
2,,<0x24a2d0ea090 (Server object) at 0x24a2d0ea090>,0x24a2d0ea090,<Starving (State) object at 0x24a2d0e9790>,Starving,,,0.0,1.0
3,,<0x24a2d0ebc10 (Queue object) at 0x24a2d0ebc10>,0x24a2d0ebc10,<Retrieving (State) object at 0x24a2d0eb4d0>,Retrieving,,,0.0,7.0
4,,<front (LabServer object) at 0x24a2d0ea110>,front,<Starving (State) object at 0x24a2d0e8850>,Starving,,,0.0,7.0
5,,<0x24a2d0e8e10 (Server object) at 0x24a2d0e8e10>,0x24a2d0e8e10,<Starving (State) object at 0x24a2d0e9090>,Starving,,,0.0,17.52
6,,<0x24a2d0e8090 (Queue object) at 0x24a2d0e8090>,0x24a2d0e8090,<Retrieving (State) object at 0x24a2d0ea810>,Retrieving,,,0.0,23.52
7,,<drill (LabServer object) at 0x24a2ec87cd0>,drill,<Starving (State) object at 0x24a2ec87c50>,Starving,,,0.0,23.52
8,,<0x24a2d09e010 (Server object) at 0x24a2d09e010>,0x24a2d09e010,<Starving (State) object at 0x24a2d09c790>,Starving,,,0.0,63.519999999999996
9,,<0x24a2d09d110 (Queue object) at 0x24a2d09d110>,0x24a2d09d110,<Retrieving (State) object at 0x24a2d09e6d0>,Retrieving,,,0.0,69.52
10,,<0x24a2eca2950 (RobotSwitch1 object) at 0x24a2eca2950>,0x24a2eca2950,<Sending (State) object at 0x24a2eff6250>,Sending,,,0.0,69.52
11,,<convRobot1S (Server object) at 0x24a2d09c150>,convRobot1S,<Starving (State) object at 0x24a2d09da90>,Starving,,,0.0,829.52
12,,<0x24a2987c5d0 (Queue object) at 0x24a2987c5d0>,0x24a2987c5d0,<Retrieving (State) object at 0x24a2987f110>,Retrieving,,,0.0,835.52
13,,<0x24a2987f510 (Server object) at 0x24a2987f510>,0x24a2987f510,<Starving (State) object at 0x24a2a509f50>,Starving,,,0.0,69.52
14,,<0x24a2d0f97d0 (Queue object) at 0x24a2d0f97d0>,0x24a2d0f97d0,<Retrieving (State) object at 0x24a2d0f9b90>,Retrieving,,,0.0,75.52
15,,<0x24a2d0f9250 (Server object) at 0x24a2d0f9250>,0x24a2d0f9250,<Starving (State) object at 0x24a2d0fa0d0>,Starving,,,0.0,835.52
16,,<0x24a2d0fb610 (Queue object) at 0x24a2d0fb610>,0x24a2d0fb610,<Retrieving (State) object at 0x24a2d0f8ad0>,Retrieving,,,0.0,841.52
17,,<0x24a2d0f8b10 (RobotSwitch2 object) at 0x24a2d0f8b10>,0x24a2d0f8b10,<Sending (State) object at 0x24a2d0fad90>,Sending,,,0.0,835.52
18,,<0x24a2d0f8450 (Server object) at 0x24a2d0f8450>,0x24a2d0f8450,<Starving (State) object at 0x24a2d0fba90>,Starving,,,0.0,995.52
19,,<0x24a2ec901d0 (Queue object) at 0x24a2ec901d0>,0x24a2ec901d0,<Retrieving (State) object at 0x24a2ec90390>,Retrieving,,,0.0,1001.52
20,,<robot (LabServer object) at 0x24a2ec81590>,robot,<Starving (State) object at 0x24a2ec82e90>,Starving,,,0.0,841.52
21,,<0x24a2f0eb150 (Server object) at 0x24a2f0eb150>,0x24a2f0eb150,<Starving (State) object at 0x24a2f0eb250>,Starving,,,0.0,922.52
22,,<0x24a2f0ea490 (Queue object) at 0x24a2f0ea490>,0x24a2f0ea490,<Retrieving (State) object at 0x24a2f0ea010>,Retrieving,,,0.0,928.52
23,,<0x24a2f0eb790 (Server object) at 0x24a2f0eb790>,0x24a2f0eb790,<Starving (State) object at 0x24a2ed49b90>,Starving,,,0.0,75.52
24,,<0x24a298c6450 (Queue object) at 0x24a298c6450>,0x24a298c6450,<Retrieving (State) object at 0x24a298c7bd0>,Retrieving,,,0.0,81.52
25,,<camera (LabServer object) at 0x24a2a4665d0>,camera,<Starving (State) object at 0x24a29888c50>,Starving,,,0.0,81.52
26,,<0x24a2997f110 (Server object) at 0x24a2997f110>,0x24a2997f110,<Starving (State) object at 0x24a2997fb90>,Starving,,,0.0,106.6349913458314
27,,<0x24a2a57da50 (Queue object) at 0x24a2a57da50>,0x24a2a57da50,<Retrieving (State) object at 0x24a2a57fa10>,Retrieving,,,0.0,112.6349913458314
28,,<back (LabServer object) at 0x24a299ba6d0>,back,<Starving (State) object at 0x24a299b8a10>,Starving,,,0.0,112.6349913458314
29,,<0x24a295e6a50 (Server object) at 0x24a295e6a50>,0x24a295e6a50,<Starving (State) object at 0x24a295e4b50>,Starving,,,0.0,123.20499134583139
30,,<0x24a295e6210 (Queue object) at 0x24a295e6210>,0x24a295e6210,<Retrieving (State) object at 0x24a295e6890>,Retrieving,,,0.0,129.2049913458314
31,,<press (LabServer object) at 0x24a295e7750>,press,<Starving (State) object at 0x24a295e5210>,Starving,,,0.0,129.2049913458314
32,,<0x24a295e7550 (Server object) at 0x24a295e7550>,0x24a295e7550,<Starving (State) object at 0x24a295e6090>,Starving,,,0.0,137.99880656563874
33,,<0x24a2d1321d0 (Queue object) at 0x24a2d1321d0>,0x24a2d1321d0,<Retrieving (State) object at 0x24a295e5d50>,Retrieving,,,0.0,143.99880656563874
34,,<manual (LabServer object) at 0x24a2a8582d0>,manual,<Starving (State) object at 0x24a2a85b950>,Starving,,,0.0,143.99880656563874
35,,<0x24a2d132390 (CloseOutSwitch object) at 0x24a2d132390>,0x24a2d132390,<Sending (State) object at 0x24a2ce6eb50>,Sending,,,0.0,154.96285891160642
36,,<0x24a2d19d310 (Gate object) at 0x24a2d19d310>,0x24a2d19d310,<Loading (State) object at 0x24a2d19eb50>,Loading,,,1.0,1.0
37,,<0x24a2d19d310 (Gate object) at 0x24a2d19d310>,0x24a2d19d310,<Waiting (State) object at 0x24a2d19d350>,Waiting,,,1.0,2.0
38,,<0x24a2d0ea090 (Server object) at 0x24a2d0ea090>,0x24a2d0ea090,<Working (State) object at 0x24a2d0e9210>,Working,,,1.0,7.0
39,,<0x24a2d19fb50 (Generator object) at 0x24a2d19fb50>,0x24a2d19fb50,<Sending (State) object at 0x24a2d19ecd0>,Sending,,,2.0,
40,,<0x24a2d19d310 (Gate object) at 0x24a2d19d310>,0x24a2d19d310,<Loading (State) object at 0x24a2d19eb50>,Loading,,,2.0,2.0
41,,<0x24a2d19d310 (Gate object) at 0x24a2d19d310>,0x24a2d19d310,<Waiting (State) object at 0x24a2d19d350>,Waiting,,,2.0,3.0
42,,<0x24a2d19d310 (Gate object) at 0x24a2d19d310>,0x24a2d19d310,<Loading (State) object at 0x24a2d19eb50>,Loading,,,3.0,3.0
43,,<0x24a2d19d310 (Gate object) at 0x24a2d19d310>,0x24a2d19d310,<Waiting (State) object at 0x24a2d19d350>,Waiting,,,3.0,4.0
44,,<0x24a2d19d310 (Gate object) at 0x24a2d19d310>,0x24a2d19d310,<Loading (State) object at 0x24a2d19eb50>,Loading,,,4.0,4.0
45,,<0x24a2d19d310 (Gate object) at 0x24a2d19d310>,0x24a2d19d310,<Waiting (State) object at 0x24a2d19d350>,Waiting,,,4.0,5.0
46,,<0x24a2d19d310 (Gate object) at 0x24a2d19d310>,0x24a2d19d310,<Loading (State) object at 0x24a2d19eb50>,Loading,,,5.0,5.0
47,,<0x24a2d19d310 (Gate object) at 0x24a2d19d310>,0x24a2d19d310,<Waiting (State) object at 0x24a2d19d350>,Waiting,,,5.0,6.0
48,,<0x24a2d19d310 (Gate object) at 0x24a2d19d310>,0x24a2d19d310,<Loading (State) object at 0x24a2d19eb50>,Loading,,,6.0,6.0
49,,<0x24a2d19d310 (Gate object) at 0x24a2d19d310>,0x24a2d19d310,<Waiting (State) object at 0x24a2d19d350>,Waiting,,,6.0,7.0
50,,<0x24a2d0ea090 (Server object) at 0x24a2d0ea090>,0x24a2d0ea090,<Blocking (State) object at 0x24a2d0ea850>,Blocking,,,7.0,7.0
51,,<0x24a2d19d310 (Gate object) at 0x24a2d19d310>,0x24a2d19d310,<Loading (State) object at 0x24a2d19eb50>,Loading,,,7.0,7.0
52,,<0x24a2d0ea090 (Server object) at 0x24a2d0ea090>,0x24a2d0ea090,<Starving (State) object at 0x24a2d0e9790>,Starving,,,7.0,7.0
53,,<0x24a2d19d310 (Gate object) at 0x24a2d19d310>,0x24a2d19d310,<Waiting (State) object at 0x24a2d19d350>,Waiting,,,7.0,8.0
54,,<0x24a2d0ebc10 (Queue object) at 0x24a2d0ebc10>,0x24a2d0ebc10,<Forwarding (State) object at 0x24a2d0eb850>,Forwarding,,,7.0,7.0
55,,<0x24a2d0ea090 (Server object) at 0x24a2d0ea090>,0x24a2d0ea090,<Working (State) object at 0x24a2d0e9210>,Working,,,7.0,13.0
56,,<0x24a2d0ebc10 (Queue object) at 0x24a2d0ebc10>,0x24a2d0ebc10,<Retrieving (State) object at 0x24a2d0eb4d0>,Retrieving,,,7.0,13.0
57,,<front (LabServer object) at 0x24a2d0ea110>,front,<Working (State) object at 0x24a2d0ea0d0>,Working,,,7.0,17.52
58,,<0x24a2d19d310 (Gate object) at 0x24a2d19d310>,0x24a2d19d310,<Loading (State) object at 0x24a2d19eb50>,Loading,,,8.0,8.0
59,,<0x24a2d19d310 (Gate object) at 0x24a2d19d310>,0x24a2d19d310,<Waiting (State) object at 0x24a2d19d350>,Waiting,,,8.0,9.0
60,,<0x24a2d19d310 (Gate object) at 0x24a2d19d310>,0x24a2d19d310,<Loading (State) object at 0x24a2d19eb50>,Loading,,,9.0,9.0
61,,<0x24a2d19d310 (Gate object) at 0x24a2d19d310>,0x24a2d19d310,<Waiting (State) object at 0x24a2d19d350>,Waiting,,,9.0,10.0
62,,<0x24a2d19d310 (Gate object) at 0x24a2d19d310>,0x24a2d19d310,<Loading (State) object at 0x24a2d19eb50>,Loading,,,10.0,10.0
63,,<0x24a2d19d310 (Gate object) at 0x24a2d19d310>,0x24a2d19d310,<Waiting (State) object at 0x24a2d19d350>,Waiting,,,10.0,11.0
64,,<0x24a2d19d310 (Gate object) at 0x24a2d19d310>,0x24a2d19d310,<Loading (State) object at 0x24a2d19eb50>,Loading,,,11.0,11.0
